community,% in Poverty,% in Extreme Poverty,Child Poverty Rate,% Female,% Male,% Asian,% Black,% Hispanic,% White,% Aged 0-4,% Aged 5-17,% Aged 18-24,% Aged 25-64,% Aged 65+,Total Pop.,Change in Pop. (2018 to 2019),Overall Unemp.,Unemp. 16-19 yr. olds,Unemp. 20-24 yr. olds,% no HS Diploma,% HS or GED,Some College,% Associates Deg.,% Bachelors Deg.,Forclosure,Homeownership Rate,Rent Burden,SNAP Enrollment Rate,% Cash Assist.,Uninsured Rate,Avg. Med. Household Income (2020 Dollars)
EAST SIDE,14.6,5.5,-3.0,53.0,47.0,0.3,1.9,84.7,12.8,8.0,21.2,10.1,48.3,12.4,23015.4,0.0,8.2,36.9,15.8,27.6,36.0,16.0,8.0,12.3,13.0,70.5,45.8,20.5,2.3,12.5,44566.9
EDGEWATER,14.8,6.3,1.8,48.6,51.4,13.7,13.3,15.9,53.5,4.3,7.0,11.2,62.7,14.9,58658.8,0.0,5.5,31.0,6.7,9.2,13.7,14.4,5.2,57.5,19.0,35.5,44.6,10.5,2.5,10.4,56418.1
EDISON PARK,3.3,2.0,-2.3,51.8,48.2,2.6,0.4,9.9,82.7,8.8,12.3,5.5,57.9,15.4,11002.0,0.0,1.8,0.0,9.9,4.3,21.3,20.0,4.9,49.5,2.0,81.5,49.6,1.5,0.7,1.5,102711.5
ENGLEWOOD,41.2,23.2,-4.1,55.1,44.9,0.6,92.1,3.9,1.2,10.2,17.1,9.0,48.3,15.4,21970.6,0.0,25.0,72.0,34.0,23.7,35.4,25.5,6.5,9.0,33.0,23.9,66.0,48.7,9.1,15.0,25700.0
FOREST GLEN,4.1,2.1,2.6,51.5,48.5,10.3,0.6,13.2,73.8,6.8,18.0,4.4,53.1,17.7,19892.0,0.0,4.9,0.3,8.3,5.4,15.1,14.7,5.9,59.0,11.0,91.7,30.1,3.9,2.1,6.2,91730.4
FULLER PARK,47.2,14.2,-5.1,51.5,48.5,0.2,86.6,6.6,5.0,3.9,14.6,12.6,40.5,28.5,2211.5,-0.1,24.6,20.0,27.2,23.4,37.2,20.4,8.4,10.6,6.0,21.6,61.4,57.4,4.4,8.4,35868.0
GAGE PARK,17.1,6.5,-6.1,51.1,48.9,0.7,4.6,91.0,3.6,8.2,20.2,12.7,48.7,10.2,35199.9,-0.1,16.2,25.6,22.6,32.6,40.2,13.8,4.9,8.6,11.0,53.6,53.5,30.2,4.9,16.8,41806.0
GARFIELD RIDGE,8.3,3.4,-3.3,48.9,51.1,1.0,4.6,52.8,40.9,5.8,18.2,6.1,55.2,14.9,35965.8,0.0,7.7,16.4,9.2,17.3,32.8,19.3,8.3,22.3,35.0,84.8,43.4,8.6,3.1,8.8,62557.4
GRAND BOULEVARD,24.8,10.3,4.5,59.2,40.8,0.7,89.6,3.3,4.1,6.7,15.0,8.2,55.7,14.4,23669.0,0.0,13.7,61.1,24.8,12.1,20.7,21.4,10.0,35.9,25.0,27.4,55.0,35.5,3.1,7.7,32917.2
GREATER GRAND CROSSING,33.4,17.8,-2.2,56.9,43.1,0.1,95.6,2.0,0.9,6.3,18.4,7.8,51.8,15.6,29489.9,0.0,19.7,60.3,35.9,13.5,29.1,30.6,7.6,19.2,55.0,33.2,64.2,42.0,6.6,9.3,33049.9
