community,"% in poverty, 2020","% in extreme poverty, 2020","% Female, 2020","% Male, 2020","% Asian, 2020","% Black, 2020","% Latino, 2020","% White, 2020","% of 18 to 24 years old, 2020","% of 25 to 64 years old, 2020","% of 65 years old or more, 2020","Total population, 2020",Overall unemployment rate,Youth unemployment rate for 20-24 yr. olds,% with no high school diploma,% with high school diploma/GED,% with Bachelor's degree and higher,Uninsured rate,Average of median household income in 2020 dollars
HYDE PARK,25.5,17.8,54.2,45.8,14.2,24.4,7.5,47.0,24.6,49.2,15.5,27722.0,6.4,6.2,3.9,4.6,77.3,5.5,46443.7
IRVING PARK,8.7,3.3,51.0,49.0,8.6,2.7,41.2,44.0,7.0,61.5,10.4,53604.0,5.9,14.9,13.6,20.3,43.6,12.0,77080.8
JEFFERSON PARK,8.1,4.0,50.9,49.1,11.6,2.6,24.4,58.2,6.2,58.0,14.8,27137.1,4.4,6.8,7.4,24.6,40.5,9.7,84230.1
KENWOOD,23.4,13.7,54.4,45.6,6.0,66.0,2.2,20.9,6.8,55.5,18.7,17972.0,9.2,4.3,5.2,15.2,58.8,8.7,49367.4
LAKE VIEW,8.5,4.5,48.3,51.7,7.0,4.2,9.0,76.2,12.8,66.6,8.4,101392.0,3.5,3.7,1.8,4.2,82.6,4.1,110863.2
LINCOLN PARK,9.0,5.2,50.0,50.0,7.3,3.8,6.2,80.0,15.5,60.5,9.2,69457.1,3.1,3.8,2.0,4.2,85.3,3.0,128699.8
LINCOLN SQUARE,7.5,3.4,52.3,47.7,9.1,3.0,17.8,64.3,6.3,67.4,8.9,41272.1,5.4,11.7,6.4,11.4,66.0,8.8,81024.8
LOGAN SQUARE,12.0,5.3,50.3,49.7,4.2,4.5,36.4,51.6,7.9,67.7,7.3,71531.6,3.4,7.7,8.5,16.9,59.2,8.2,93714.5
LOOP,9.4,7.0,49.7,50.3,21.4,7.0,9.4,58.9,16.5,67.5,10.6,40355.6,5.7,6.7,3.9,3.3,82.6,3.4,123833.3
LOWER WEST SIDE,14.0,6.1,49.4,50.6,4.8,3.1,67.9,22.3,10.0,61.3,10.3,32589.1,6.5,15.9,23.3,18.9,38.7,14.1,57160.2
MCKINLEY PARK,13.0,3.9,50.1,49.9,29.9,1.2,52.8,15.4,10.3,58.3,11.5,15253.5,6.1,9.0,23.2,29.8,25.5,13.4,57043.3
MONTCLARE,11.7,4.7,53.4,46.6,2.5,3.1,55.6,36.2,8.9,51.6,16.6,14382.0,4.1,8.0,21.0,32.3,16.3,11.3,66361.8
